step,K,U,E
291,8.7752642216,-9.7458446628,-0.9705804412
292,8.7800348548,-9.7506151667,-0.9705803120
293,8.7848470119,-9.7554271882,-0.9705801762
294,8.7897034667,-9.7602835007,-0.9705800339
295,8.7946070935,-9.7651869785,-0.9705798850
296,8.7995608684,-9.7701405976,-0.9705797293
297,8.8045678701,-9.7751474368,-0.9705795667
298,8.8096312805,-9.7802106778,-0.9705793973
299,8.8147543850,-9.7853336061,-0.9705792210
300,8.8199405733,-9.7905196111,-0.9705790378
301,8.8251933392,-9.7957721867,-0.9705788475
302,8.8305162804,-9.8010949307,-0.9705786503
303,8.8359130992,-9.8064915452,-0.9705784461
304,8.8413876008,-9.8119658357,-0.9705782349
305,8.8469436938,-9.8175217106,-0.9705780168
306,8.8525853887,-9.8231631804,-0.9705777917
307,8.8583167967,-9.8288943566,-0.9705775599
308,8.8641421286,-9.8347194498,-0.9705773213
309,8.8700656927,-9.8406427688,-0.9705770760
310,8.8760918934,-9.8466687177,-0.9705768243
311,8.8822252278,-9.8528017940,-0.9705765662
312,8.8884702843,-9.8590465861,-0.9705763019
313,8.8948317383,-9.8654077699,-0.9705760316
314,8.9013143499,-9.8718901053,-0.9705757555
315,8.9079229593,-9.8784984331,-0.9705754738
316,8.9146624831,-9.8852376700,-0.9705751869
317,8.9215379097,-9.8921128048,-0.9705748951
318,8.9285542943,-9.8991288929,-0.9705745986
319,8.9357167535,-9.9062910512,-0.9705742977
320,8.9430304594,-9.9136044524,-0.9705739930
321,8.9505006338,-9.9210743186,-0.9705736848
322,8.9581325414,-9.9287059149,-0.9705733735
323,8.9659314824,-9.9365045420,-0.9705730596
324,8.9739027857,-9.9444755293,-0.9705727436
325,8.9820518006,-9.9526242266,-0.9705724260
326,8.9903838885,-9.9609559959,-0.9705721074
327,8.9989044148,-9.9694762031,-0.9705717883
328,9.0076187389,-9.9781902082,-0.9705714693
329,9.0165322057,-9.9871033569,-0.9705711511
330,9.0256501354,-9.9962209697,-0.9705708343
331,9.0349778133,-10.0055483329,-0.9705705196
332,9.0445204797,-10.0150906873,-0.9705702076
333,9.0542833190,-10.0248532180,-0.9705698991
334,9.0642714488,-10.0348410435,-0.9705695947
335,9.0744899090,-10.0450592042,-0.9705692953
336,9.0849436498,-10.0555126513,-0.9705690015
337,9.0956375212,-10.0662062353,-0.9705687141
338,9.1065762602,-10.0771446941,-0.9705684339
339,9.1177644801,-10.0883326418,-0.9705681617
340,9.1292066585,-10.0997745566,-0.9705678981
341,9.1409071253,-10.1114747692,-0.9705676440
342,9.1528700512,-10.1234374513,-0.9705674001
343,9.1650994367,-10.1356666039,-0.9705671671
344,9.1775991000,-10.1481660458,-0.9705669459
345,9.1903726660,-10.1609394030,-0.9705667370
346,9.2034235559,-10.1739900972,-0.9705665413
347,9.2167549761,-10.1873213354,-0.9705663593
348,9.2303699080,-10.2009360997,-0.9705661917
349,9.2442710984,-10.2148371376,-0.9705660392
350,9.2584610499,-10.2290269522,-0.9705659023
351,9.2729420123,-10.2435077938,-0.9705657816
352,9.2877159738,-10.2582816514,-0.9705656776
353,9.3027846537,-10.2733502445,-0.9705655908
354,9.3181494952,-10.2887150168,-0.9705655215
355,9.3338116588,-10.3043771291,-0.9705654703
356,9.3497720164,-10.3203374538,-0.9705654374
357,9.3660311470,-10.3365965701,-0.9705654231
358,9.3825893316,-10.3531547592,-0.9705654276
359,9.3994465503,-10.3700120015,-0.9705654512
360,9.4166024794,-10.3871679734,-0.9705654940
361,9.4340564899,-10.4046220458,-0.9705655560
362,9.4518076461,-10.4223732833,-0.9705656372
