step,K,U,E
345,2056.3359956357,-4.9326253803,2051.4033702554
346,2056.3402466610,-4.9368764500,2051.4033702110
347,2056.3446159374,-4.9412457902,2051.4033701472
348,2056.3491031489,-4.9457330853,2051.4033700636
349,2056.3537076801,-4.9503377205,2051.4033699595
350,2056.3584286103,-4.9550587755,2051.4033698348
351,2056.3632647081,-4.9598950191,2051.4033696890
352,2056.3682144264,-4.9648449045,2051.4033695219
353,2056.3732758989,-4.9699065657,2051.4033693332
354,2056.3784469373,-4.9750778144,2051.4033691228
355,2056.3837250287,-4.9803561381,2051.4033688906
356,2056.3891073352,-4.9857386987,2051.4033686365
357,2056.3945906928,-4.9912223323,2051.4033683605
358,2056.4001716130,-4.9968035503,2051.4033680628
359,2056.4058462837,-5.0024785403,2051.4033677434
360,2056.4116105720,-5.0082431695,2051.4033674025
361,2056.4174600279,-5.0140929874,2051.4033670405
362,2056.4233898886,-5.0200232310,2051.4033666576
363,2056.4293950837,-5.0260288296,2051.4033662542
364,2056.4354702421,-5.0321044114,2051.4033658307
365,2056.4416096984,-5.0382443107,2051.4033653877
366,2056.4478075020,-5.0444425763,2051.4033649257
367,2056.4540574253,-5.0506929800,2051.4033644454
368,2056.4603529741,-5.0569890268,2051.4033639473
369,2056.4666873980,-5.0633239658,2051.4033634322
370,2056.4730537024,-5.0696908014,2051.4033629010
371,2056.4794446603,-5.0760823059,2051.4033623544
372,2056.4858528260,-5.0824910327,2051.4033617933
373,2056.4922705483,-5.0889093297,2051.4033612186
374,2056.4986899856,-5.0953293543,2051.4033606313
375,2056.5051031208,-5.1017430884,2051.4033600324
376,2056.5115017772,-5.1081423543,2051.4033594229
377,2056.5178776349,-5.1145188309,2051.4033588040
378,2056.5242222480,-5.1208640714,2051.4033581766
379,2056.5305270619,-5.1271695198,2051.4033575421
380,2056.5367834313,-5.1334265298,2051.4033569016
381,2056.5429826390,-5.1396263828,2051.4033562562
382,2056.5491159142,-5.1457603069,2051.4033556073
383,2056.5551744523,-5.1518194964,2051.4033549560
384,2056.5611494345,-5.1577951308,2051.4033543037
385,2056.5670320472,-5.1636783957,2051.4033536516
386,2056.5728135028,-5.1694605018,2051.4033530011
387,2056.5784850598,-5.1751327064,2051.4033523535
388,2056.5840380435,-5.1806863334,2051.4033517101
389,2056.5894638667,-5.1861127944,2051.4033510723
390,2056.5947540510,-5.1914036096,2051.4033504415
391,2056.5999002474,-5.1965504285,2051.4033498189
392,2056.6048942576,-5.2015450515,2051.4033492061
393,2056.6097280552,-5.2063794508,2051.4033486043
394,2056.6143938065,-5.2110457915,2051.4033480150
395,2056.6188838919,-5.2155364524,2051.4033474395
396,2056.6231909266,-5.2198440475,2051.4033468791
397,2056.6273077816,-5.2239614465,2051.4033463352
398,2056.6312276045,-5.2278817954,2051.4033458091
399,2056.6349438394,-5.2315985371,2051.4033453023
400,2056.6384502477,-5.2351054318,2051.4033448159
401,2056.6417409278,-5.2383965765,2051.4033443513
402,2056.6448103343,-5.2414664246,2051.4033439097
403,2056.6476532976,-5.2443098052,2051.4033434924
404,2056.6502650425,-5.2469219418,2051.4033431006
405,2056.6526412057,-5.2492984703,2051.4033427354
406,2056.6547778544,-5.2514354563,2051.4033423981
407,2056.6566715023,-5.2533294127,2051.4033420896
408,2056.6583191261,-5.2549773150,2051.4033418110
409,2056.6597181810,-5.2563766176,2051.4033415634
410,2056.6608666150,-5.2575252675,2051.4033413475
411,2056.6617628828,-5.2584217184,2051.4033411644
412,2056.6624059579,-5.2590649431,2051.4033410148
413,2056.6627953442,-5.2594544449,2051.4033408994
414,2056.6629310867,-5.2595902734,2051.4033408133
415,2056.6628137797,-5.2594730115,2051.4033407681
416,2056.6624445746,-5.2591038158,2051.4033407588
417,2056.6618251866,-5.2584844009,2051.4033407857
418,2056.6609578982,-5.2576170492,2051.4033408490
419,2056.6598455630,-5.2565046085,2051.4033409545
420,2056.6584916063,-5.2551505153,2051.4033410910
421,2056.6569000244,-5.2535587604,2051.4033412641
422,2056.6550753825,-5.2517339091,2051.4033414734
423,2056.6530228092,-5.2496810906,2051.4033417185
424,2056.6507479904,-5.2474059913,2051.4033419991
425,2056.6482571604,-5.2449148460,2051.4033423144
426,2056.6455570903,-5.2422144268,2051.4033426635
427,2056.6426550753,-5.2393120297,2051.4033430456
428,2056.6395589184,-5.2362154589,2051.4033434595
429,2056.6362769126,-5.2329330087,2051.4033439039
430,2056.6328178204,-5.2294734430,2051.4033443773
431,2056.6291908510,-5.2258459727,2051.4033448783
432,2056.6254056350,-5.2220602300,2051.4033454050
433,2056.6214721972,-5.2181262416,2051.4033459555
434,2056.6174009259,-5.2140543981,2051.4033465278
435,2056.6132025417,-5.2098554220,2051.4033471197
436,2056.6088880625,-5.2055403337,2051.4033477287
437,2056.6044687674,-5.2011204148,2051.4033483526
438,2056.5999561585,-5.1966071700,2051.4033489885
439,2056.5953619203,-5.1920122864,2051.4033496339
440,2056.5906978784,-5.1873475925,2051.4033502859
441,2056.5859759558,-5.1826250141,2051.4033509416
442,2056.5812081286,-5.1778565304,2051.4033515981
443,2056.5764063804,-5.1730541280,2051.4033522523
444,2056.5715826560,-5.1682297547,2051.4033529012
445,2056.5667488142,-5.1633952725,2051.4033535417
446,2056.5619165813,-5.1585624106,2051.4033541707
447,2056.5570975033,-5.1537427181,2051.4033547852
448,2056.5523028997,-5.1489475175,2051.4033553821
449,2056.5475438172,-5.1441878586,2051.4033559585
450,2056.5428309849,-5.1394744733,2051.4033565116
451,2056.5381747706,-5.1348177320,2051.4033570385
452,2056.5335851386,-5.1302276018,2051.4033575368
453,2056.5290716100,-5.1257136062,2051.4033580038
454,2056.5246432251,-5.1212847877,2051.4033584374
455,2056.5203085085,-5.1169496731,2051.4033588354
456,2056.5160754371,-5.1127162356,2051.4033592015
457,2056.5119514118,-5.1085918887,2051.4033595231
458,2056.5079432323,-5.1045834280,2051.4033598043
459,2056.5040570764,-5.1006970323,2051.4033600441
460,2056.5002984825,-5.0969382409,2051.4033602416
461,2056.4966723377,-5.0933119414,2051.4033603963
462,2056.4931828692,-5.0898223612,2051.4033605080
463,2056.4898336412,-5.0864730642,2051.4033605770
464,2056.4866275560,-5.0832669524,2051.4033606036
465,2056.4835668607,-5.0802062719,2051.4033605887
466,2056.4806531580,-5.0772926246,2051.4033605334
467,2056.4778874226,-5.0745269835,2051.4033604391
468,2056.4752700221,-5.0719097144,2051.4033603077
469,2056.4728007428,-5.0694406017,2051.4033601411
470,2056.4704788202,-5.0671188782,2051.4033599419
471,2056.4683029737,-5.0649432610,2051.4033597127
472,2056.4662714463,-5.0629119899,2051.4033594564
473,2056.4643820477,-5.0610228715,2051.4033591762
474,2056.4626322011,-5.0592733254,2051.4033588757
475,2056.4610189938,-5.0576604355,2051.4033585583
476,2056.4595392310,-5.0561810030,2051.4033582280
477,2056.4581894914,-5.0548316026,2051.4033578888
478,2056.4569661859,-5.0536086412,2051.4033575446
479,2056.4558656175,-5.0525084177,2051.4033571998
480,2056.4548840433,-5.0515271793,2051.4033568640
481,2056.4540177361,-5.0506612055,2051.4033565306
482,2056.4532630473,-5.0499068381,2051.4033562091
483,2056.4526164693,-5.0492605653,2051.4033559040
484,2056.4520746969,-5.0487190777,2051.4033556192
485,2056.4516346880,-5.0482793292,2051.4033553588
486,2056.4512937219,-5.0479385952,2051.4033551267
487,2056.4510494555,-5.0476945291,2051.4033549264
488,2056.4508999771,-5.0475452156,2051.4033547615
489,2056.4508438565,-5.0474892215,2051.4033546351
490,2056.4508801913,-5.0475256412,2051.4033545501
491,2056.4510086492,-5.0476541400,2051.4033545092
492,2056.4512295057,-5.0478749912,2051.4033545146
493,2056.4515436768,-5.0481891087,2051.4033545681
494,2056.4519527462,-5.0485980747,2051.4033546715
495,2056.4524589869,-5.0491041612,2051.4033548257
496,2056.4530653772,-5.0497103457,2051.4033550315
497,2056.4537756102,-5.0504203210,2051.4033552893
498,2056.4545940970,-5.0512384983,2051.4033555988
499,2056.4555259640,-5.0521700045,2051.4033559595
500,2056.4565770427,-5.0532206723,2051.4033563704
501,2056.4577538542,-5.0543970242,2051.4033568300
502,2056.4590635865,-5.0557062500,2051.4033573366
503,2056.4605140653,-5.0571561776,2051.4033578877
