step,K,U,E
227,0.1363754796,-0.2112279199,-0.0748524403
228,0.1401525801,-0.2150044591,-0.0748518789
229,0.1440816897,-0.2189329662,-0.0748512765
230,0.1481714828,-0.2230221120,-0.0748506293
231,0.1524312762,-0.2272812094,-0.0748499332
232,0.1568710877,-0.2317202713,-0.0748491837
233,0.1615017004,-0.2363500762,-0.0748483757
234,0.1663347352,-0.2411822390,-0.0748475039
235,0.1713827299,-0.2462292917,-0.0748465618
236,0.1766592289,-0.2515047715,-0.0748455426
237,0.1821788817,-0.2570233203,-0.0748444386
238,0.1879575541,-0.2628007953,-0.0748432412
239,0.1940124514,-0.2688543921,-0.0748419406
240,0.2003622578,-0.2752027839,-0.0748405261
241,0.2070272916,-0.2818662770,-0.0748389854
242,0.2140296805,-0.2888669852,-0.0748373047
243,0.2213935589,-0.2962290275,-0.0748354686
244,0.2291452904,-0.3039787499,-0.0748334596
245,0.2373137196,-0.3121449773,-0.0748312577
246,0.2459304575,-0.3207592980,-0.0748288405
247,0.2550302050,-0.3298563874,-0.0748261823
248,0.2646511214,-0.3394743755,-0.0748232541
249,0.2748352439,-0.3496552663,-0.0748200224
250,0.2856289672,-0.3604454165,-0.0748164492
251,0.2970835918,-0.3718960828,-0.0748124910
252,0.3092559529,-0.3840640505,-0.0748080976
253,0.3222091427,-0.3970123542,-0.0748032115
254,0.3360133420,-0.4108111084,-0.0747977664
255,0.3507467786,-0.4255384645,-0.0747916859
256,0.3664968342,-0.4412817158,-0.0747848816
257,0.3833613248,-0.4581385764,-0.0747772516
258,0.4014499832,-0.4762186609,-0.0747686776
259,0.4208861764,-0.4956451997,-0.0747590233
260,0.4418088971,-0.5165570279,-0.0747481307
261,0.4643750715,-0.5391108894,-0.0747358179
262,0.4887622289,-0.5634841043,-0.0747218753
263,0.5151715846,-0.5898776483,-0.0747060637
264,0.5438315803,-0.6185196920,-0.0746881117
265,0.5750019247,-0.6496696402,-0.0746677155
266,0.6089781475,-0.6836226903,-0.0746445428
267,0.6460966449,-0.7207148867,-0.0746182418
268,0.6867401047,-0.7613285676,-0.0745884629
269,0.7313430544,-0.8058979535,-0.0745548991
270,0.7803970134,-0.8549143740,-0.0745173606
271,0.8344542729,-0.9089301806,-0.0744759077
272,0.8941285482,-0.9685596300,-0.0744310818
273,0.9600894037,-1.0344737091,-0.0743843055
274,1.0330450556,-1.1073836254,-0.0743385698
275,1.1137042318,-1.1880038452,-0.0742996135
276,1.2027010681,-1.2769790064,-0.0742779382
277,1.3004556649,-1.3747479020,-0.0742922371
278,1.4069239017,-1.4812990646,-0.0743751629
279,1.5211591530,-1.5957419678,-0.0745828148
280,1.6405610297,-1.7155706377,-0.0750096080
281,1.7596227240,-1.8354319553,-0.0758092313
282,1.8679343340,-1.9451509665,-0.0772166325
283,1.9472643617,-2.0268100281,-0.0795456664
284,1.9680683875,-2.0511498083,-0.0830814209
285,1.8876013813,-1.9752777650,-0.0876763837
286,1.6562494509,-1.7480493131,-0.0917998622
287,1.2450236872,-1.3364364178,-0.0914127306
288,0.7030724587,-0.7845834167,-0.0815109581
289,0.2093760744,-0.2737906538,-0.0644145794
290,0.0131871455,-0.0687262634,-0.0555391179
291,0.2333102608,-0.2987160921,-0.0654058313
292,0.7373266661,-0.8197312483,-0.0824045822
293,1.2753510428,-1.3670186841,-0.0916676413
294,1.6762334003,-1.7678585863,-0.0916251860
295,1.8974724644,-1.9848590710,-0.0873866066
296,1.9706582453,-2.0534906170,-0.0828323717
297,1.9454819315,-2.0248548532,-0.0793729218
298,1.8639382467,-1.9410472195,-0.0771089728
299,1.7547994289,-1.8305459623,-0.0757465334
300,1.6357268680,-1.7107020371,-0.0749751691
301,1.5167612744,-1.5913265187,-0.0745652443
302,1.4031861819,-1.4775535009,-0.0743673191
303,1.2974728373,-1.3717626655,-0.0742898283
304,1.2004960467,-1.2747744941,-0.0742784474
305,1.1122618942,-1.1865634838,-0.0743015896
306,1.0323317027,-1.1066728932,-0.0743411905
307,0.9600637260,-1.0344508410,-0.0743871150
308,0.8947476343,-0.9691814712,-0.0744338368
309,0.8356767546,-0.9101552412,-0.0744784866
310,0.7821845781,-0.8567042890,-0.0745197109
311,0.7336610424,-0.8082180598,-0.0745570174
312,0.6895576063,-0.7641479507,-0.0745903444
