step,K,U,E
367,0.2126165619,-0.2500213095,-0.0374047476
368,0.2200499035,-0.2574527094,-0.0374028059
369,0.2278905983,-0.2652912870,-0.0374006887
370,0.2361691290,-0.2735675069,-0.0373983780
371,0.2449187846,-0.2823146386,-0.0373958540
372,0.2541759520,-0.2915690470,-0.0373930950
373,0.2639804366,-0.3013705141,-0.0373900774
374,0.2743758150,-0.3117625905,-0.0373867755
375,0.2854098195,-0.3227929809,-0.0373831614
376,0.2971347559,-0.3345139617,-0.0373792057
377,0.3096079515,-0.3469828292,-0.0373748777
378,0.3228922298,-0.3602623756,-0.0373701457
379,0.3370564031,-0.3744213822,-0.0373649791
380,0.3521757685,-0.3895351179,-0.0373593494
381,0.3683325833,-0.4056858170,-0.0373532337
382,0.3856164840,-0.4229631029,-0.0373466189
383,0.4041247902,-0.4414642985,-0.0373395083
384,0.4239626100,-0.4612945417,-0.0373319317
385,0.4452426179,-0.4825665771,-0.0373239592
386,0.4680843165,-0.5054000395,-0.0373157229
387,0.4926125025,-0.5299199504,-0.0373074479
388,0.5189545254,-0.5562540227,-0.0372994973
389,0.5472357362,-0.5845281759,-0.0372924397
390,0.5775722430,-0.6148593884,-0.0372871454
391,0.6100596829,-0.6473446115,-0.0372849286
392,0.6447561357,-0.6820438881,-0.0372877524
393,0.6816564689,-0.7189549933,-0.0372985244
394,0.7206542368,-0.7579757538,-0.0373215170
395,0.7614856821,-0.7988486326,-0.0373629505
396,0.8036483769,-0.8410801533,-0.0374317764
397,0.8462847833,-0.8838254404,-0.0375406571
398,0.8880191758,-0.9257262104,-0.0377070346
399,0.9267368363,-0.9646907416,-0.0379539053
400,0.9593015618,-0.9976108858,-0.0383093240
401,0.9812304890,-1.0200329777,-0.0388024888
402,0.9864010579,-1.0258533747,-0.0394523168
403,0.9669796946,-1.0072218219,-0.0402421273
404,0.9139595946,-0.9550338315,-0.0410742368
405,0.8189485206,-0.8606579617,-0.0417094411
406,0.6779510263,-0.7196847492,-0.0417337229
407,0.4972834765,-0.5379439984,-0.0406605219
408,0.2996612343,-0.3379555704,-0.0382943361
409,0.1251700232,-0.1604189992,-0.0352489759
410,0.0208673237,-0.0538814347,-0.0330141110
411,0.0197282425,-0.0527152835,-0.0329870410
412,0.1221462968,-0.1573322606,-0.0351859638
413,0.2956972502,-0.3339289655,-0.0382317152
414,0.4933825796,-0.5340052769,-0.0406226973
415,0.6748082795,-0.7165320208,-0.0417237413
416,0.8168633275,-0.8585815119,-0.0417181843
417,0.9129352873,-0.9540264831,-0.0410911958
418,0.9668658638,-1.0071260566,-0.0402601928
419,0.9870006484,-1.0264686900,-0.0394680417
420,0.9823579654,-1.0211727885,-0.0388148231
421,0.9608055488,-0.9991239567,-0.0383184079
422,0.9285034451,-0.9664637616,-0.0379603165
423,0.8899671504,-0.9276785650,-0.0377114146
424,0.8483584153,-0.8859019789,-0.0375435637
425,0.8058108036,-0.8432444490,-0.0374336454
426,0.7637134322,-0.8010775364,-0.0373641042
427,0.7229331108,-0.7602552962,-0.0373221855
428,0.6839785560,-0.7212774248,-0.0372988688
429,0.6471177121,-0.6844055958,-0.0372878838
430,0.6124597545,-0.6497446775,-0.0372849230
431,0.5800115496,-0.6172986040,-0.0372870544
432,0.5497160775,-0.5870083753,-0.0372922978
433,0.5214783094,-0.5587776370,-0.0372993276
434,0.4951824469,-0.5324897124,-0.0373072655
435,0.4707032539,-0.5080187917,-0.0373155378
436,0.4479133719,-0.4852371493,-0.0373237774
437,0.4266879189,-0.4640196760,-0.0373317570
438,0.4069072623,-0.4442466051,-0.0373393429
439,0.3884585739,-0.4258050430,-0.0373464691
440,0.3712365824,-0.4085896768,-0.0373530944
441,0.3551438042,-0.3925030248,-0.0373592206
442,0.3400904438,-0.3774553041,-0.0373648603
443,0.3259940926,-0.3633641290,-0.0373700364
444,0.3127793122,-0.3501540893,-0.0373747771
445,0.3003771595,-0.3377562728,-0.0373791133
446,0.2887246910,-0.3261077673,-0.0373830764
447,0.2777644698,-0.3151511670,-0.0373866972
448,0.2674440907,-0.3048340961,-0.0373900054
449,0.2577157311,-0.2951087597,-0.0373930286
450,0.2485357332,-0.2859315257,-0.0373957926
451,0.2398642178,-0.2772625390,-0.0373983211
452,0.2316647321,-0.2690653680,-0.0374006360
453,0.2239039272,-0.2613066841,-0.0374027569
454,0.2165512671,-0.2539559690,-0.0374047019
455,0.2095787640,-0.2469852512,-0.0374064872
456,0.2029607403,-0.2403688679,-0.0374081275
457,0.1966736133,-0.2340832495,-0.0374096362
458,0.1906957013,-0.2281067266,-0.0374110252
459,0.1850070492,-0.2224193545,-0.0374123054
460,0.1795892708,-0.2170027572,-0.0374134864
461,0.1744254076,-0.2118399848,-0.0374145772
462,0.1694998008,-0.2069153865,-0.0374155857
463,0.1647979764,-0.2022144953,-0.0374165189
464,0.1603065410,-0.1977239246,-0.0374173835
465,0.1560130887,-0.1934312741,-0.0374181854
466,0.1519061158,-0.1893250454,-0.0374189297
467,0.1479749445,-0.1853945658,-0.0374196213
468,0.1442096540,-0.1816299185,-0.0374202645
469,0.1406010170,-0.1780218805,-0.0374208634
470,0.1371404437,-0.1745618652,-0.0374214215
471,0.1338199292,-0.1712418713,-0.0374219420
472,0.1306320077,-0.1680544357,-0.0374224280
473,0.1275697091,-0.1649925911,-0.0374228820
474,0.1246265203,-0.1620498270,-0.0374233067
475,0.1217963503,-0.1592200545,-0.0374237042
476,0.1190734975,-0.1564975740,-0.0374240765
477,0.1164526204,-0.1538770460,-0.0374244256
478,0.1139287108,-0.1513534640,-0.0374247531
479,0.1114970692,-0.1489221300,-0.0374250607
480,0.1091532822,-0.1465786320,-0.0374253498
481,0.1068932018,-0.1443188234,-0.0374256216
482,0.1047129266,-0.1421388041,-0.0374258775
483,0.1026087845,-0.1400349030,-0.0374261184
484,0.1005773165,-0.1380036621,-0.0374263455
485,0.0986152622,-0.1360418219,-0.0374265597
486,0.0967195458,-0.1341463077,-0.0374267619
487,0.0948872646,-0.1323142173,-0.0374269528
488,0.0931156763,-0.1305428095,-0.0374271332
