step,K,U,E
282,0.0006472431,-0.0755094656,-0.0748622225
283,0.0006518767,-0.0755140992,-0.0748622225
284,0.0006565274,-0.0755187499,-0.0748622225
285,0.0006611951,-0.0755234176,-0.0748622225
286,0.0006658800,-0.0755281025,-0.0748622225
287,0.0006705820,-0.0755328045,-0.0748622225
288,0.0006753011,-0.0755375236,-0.0748622225
289,0.0006800373,-0.0755422598,-0.0748622225
290,0.0006847906,-0.0755470131,-0.0748622225
291,0.0006895611,-0.0755517836,-0.0748622225
292,0.0006943487,-0.0755565712,-0.0748622225
293,0.0006991534,-0.0755613760,-0.0748622225
294,0.0007039754,-0.0755661979,-0.0748622225
295,0.0007088144,-0.0755710370,-0.0748622225
296,0.0007136707,-0.0755758932,-0.0748622225
297,0.0007185442,-0.0755807667,-0.0748622225
298,0.0007234348,-0.0755856573,-0.0748622225
299,0.0007283426,-0.0755905651,-0.0748622225
300,0.0007332677,-0.0755954902,-0.0748622225
301,0.0007382100,-0.0756004325,-0.0748622225
302,0.0007431695,-0.0756053920,-0.0748622225
303,0.0007481462,-0.0756103687,-0.0748622225
304,0.0007531402,-0.0756153627,-0.0748622225
305,0.0007581514,-0.0756203739,-0.0748622225
306,0.0007631799,-0.0756254024,-0.0748622225
307,0.0007682256,-0.0756304481,-0.0748622225
308,0.0007732887,-0.0756355112,-0.0748622225
309,0.0007783690,-0.0756405915,-0.0748622225
310,0.0007834666,-0.0756456891,-0.0748622225
311,0.0007885815,-0.0756508040,-0.0748622225
312,0.0007937137,-0.0756559362,-0.0748622225
313,0.0007988633,-0.0756610858,-0.0748622225
314,0.0008040302,-0.0756662527,-0.0748622225
315,0.0008092144,-0.0756714369,-0.0748622225
316,0.0008144159,-0.0756766384,-0.0748622225
317,0.0008196349,-0.0756818574,-0.0748622225
318,0.0008248712,-0.0756870937,-0.0748622225
319,0.0008301248,-0.0756923473,-0.0748622225
320,0.0008353959,-0.0756976184,-0.0748622225
321,0.0008406843,-0.0757029068,-0.0748622225
322,0.0008459902,-0.0757082127,-0.0748622225
323,0.0008513134,-0.0757135359,-0.0748622225
324,0.0008566541,-0.0757188766,-0.0748622225
325,0.0008620122,-0.0757242347,-0.0748622225
326,0.0008673878,-0.0757296103,-0.0748622225
327,0.0008727808,-0.0757350032,-0.0748622225
328,0.0008781912,-0.0757404137,-0.0748622225
329,0.0008836191,-0.0757458416,-0.0748622225
330,0.0008890645,-0.0757512870,-0.0748622225
331,0.0008945274,-0.0757567499,-0.0748622225
332,0.0009000078,-0.0757622303,-0.0748622225
333,0.0009055057,-0.0757677281,-0.0748622225
334,0.0009110211,-0.0757732435,-0.0748622225
335,0.0009165540,-0.0757787765,-0.0748622225
336,0.0009221044,-0.0757843269,-0.0748622225
337,0.0009276724,-0.0757898949,-0.0748622225
338,0.0009332580,-0.0757954804,-0.0748622225
339,0.0009388611,-0.0758010836,-0.0748622225
340,0.0009444818,-0.0758067042,-0.0748622225
341,0.0009501200,-0.0758123425,-0.0748622225
342,0.0009557759,-0.0758179983,-0.0748622225
343,0.0009614493,-0.0758236718,-0.0748622225
344,0.0009671404,-0.0758293629,-0.0748622225
345,0.0009728491,-0.0758350715,-0.0748622225
346,0.0009785754,-0.0758407979,-0.0748622225
347,0.0009843193,-0.0758465418,-0.0748622225
348,0.0009900809,-0.0758523034,-0.0748622225
349,0.0009958602,-0.0758580827,-0.0748622225
350,0.0010016572,-0.0758638796,-0.0748622225
351,0.0010074718,-0.0758696942,-0.0748622225
352,0.0010133041,-0.0758755266,-0.0748622225
353,0.0010191541,-0.0758813766,-0.0748622225
354,0.0010250218,-0.0758872443,-0.0748622225
355,0.0010309072,-0.0758931297,-0.0748622225
356,0.0010368104,-0.0758990329,-0.0748622225
357,0.0010427313,-0.0759049538,-0.0748622225
358,0.0010486700,-0.0759108925,-0.0748622225
359,0.0010546264,-0.0759168489,-0.0748622225
360,0.0010606006,-0.0759228231,-0.0748622225
361,0.0010665926,-0.0759288151,-0.0748622225
362,0.0010726024,-0.0759348249,-0.0748622225
363,0.0010786300,-0.0759408524,-0.0748622225
364,0.0010846754,-0.0759468978,-0.0748622225
365,0.0010907386,-0.0759529611,-0.0748622225
366,0.0010968196,-0.0759590421,-0.0748622225
367,0.0011029185,-0.0759651410,-0.0748622225
368,0.0011090353,-0.0759712578,-0.0748622225
369,0.0011151699,-0.0759773924,-0.0748622225
370,0.0011213224,-0.0759835449,-0.0748622225
371,0.0011274928,-0.0759897153,-0.0748622225
372,0.0011336811,-0.0759959036,-0.0748622225
373,0.0011398873,-0.0760021098,-0.0748622225
374,0.0011461114,-0.0760083339,-0.0748622225
375,0.0011523535,-0.0760145760,-0.0748622225
376,0.0011586135,-0.0760208360,-0.0748622225
377,0.0011648915,-0.0760271139,-0.0748622225
378,0.0011711874,-0.0760334098,-0.0748622225
379,0.0011775013,-0.0760397237,-0.0748622225
380,0.0011838332,-0.0760460556,-0.0748622225
381,0.0011901830,-0.0760524055,-0.0748622225
382,0.0011965509,-0.0760587734,-0.0748622225
383,0.0012029368,-0.0760651593,-0.0748622225
384,0.0012093408,-0.0760715632,-0.0748622225
385,0.0012157628,-0.0760779852,-0.0748622225
386,0.0012222028,-0.0760844253,-0.0748622225
387,0.0012286609,-0.0760908834,-0.0748622225
388,0.0012351371,-0.0760973595,-0.0748622225
389,0.0012416314,-0.0761038538,-0.0748622225
390,0.0012481437,-0.0761103662,-0.0748622225
391,0.0012546742,-0.0761168967,-0.0748622225
392,0.0012612228,-0.0761234453,-0.0748622224
393,0.0012677895,-0.0761300120,-0.0748622224
394,0.0012743744,-0.0761365969,-0.0748622224
395,0.0012809775,-0.0761431999,-0.0748622224
396,0.0012875987,-0.0761498211,-0.0748622224
397,0.0012942381,-0.0761564605,-0.0748622224
398,0.0013008956,-0.0761631181,-0.0748622224
399,0.0013075714,-0.0761697939,-0.0748622224
400,0.0013142654,-0.0761764879,-0.0748622224
401,0.0013209777,-0.0761832001,-0.0748622224
402,0.0013277081,-0.0761899306,-0.0748622224
403,0.0013344568,-0.0761966793,-0.0748622224
404,0.0013412238,-0.0762034463,-0.0748622224
405,0.0013480091,-0.0762102315,-0.0748622224
406,0.0013548126,-0.0762170351,-0.0748622224
407,0.0013616345,-0.0762238569,-0.0748622224
408,0.0013684746,-0.0762306970,-0.0748622224
409,0.0013753331,-0.0762375555,-0.0748622224
410,0.0013822099,-0.0762444323,-0.0748622224
411,0.0013891051,-0.0762513275,-0.0748622224
412,0.0013960186,-0.0762582410,-0.0748622224
413,0.0014029505,-0.0762651729,-0.0748622224
414,0.0014099007,-0.0762721232,-0.0748622224
415,0.0014168694,-0.0762790918,-0.0748622224
416,0.0014238565,-0.0762860789,-0.0748622224
417,0.0014308620,-0.0762930844,-0.0748622224
418,0.0014378859,-0.0763001083,-0.0748622224
419,0.0014449283,-0.0763071507,-0.0748622224
420,0.0014519891,-0.0763142116,-0.0748622224
421,0.0014590684,-0.0763212909,-0.0748622224
422,0.0014661662,-0.0763283887,-0.0748622224
423,0.0014732825,-0.0763355050,-0.0748622224
424,0.0014804173,-0.0763426397,-0.0748622224
425,0.0014875706,-0.0763497931,-0.0748622224
426,0.0014947425,-0.0763569649,-0.0748622224
427,0.0015019329,-0.0763641553,-0.0748622224
428,0.0015091419,-0.0763713643,-0.0748622224
429,0.0015163694,-0.0763785918,-0.0748622224
430,0.0015236155,-0.0763858379,-0.0748622224
431,0.0015308802,-0.0763931026,-0.0748622224
432,0.0015381636,-0.0764003860,-0.0748622224
433,0.0015454655,-0.0764076879,-0.0748622224
434,0.0015527861,-0.0764150085,-0.0748622224
